"Iteration","Beta0","Beta1","Tau2","Sigma2","Phi"
1,0,0,1,5,0.0773381365737523
2,3.41569217874942,-0.0496409513590465,11.4545602810091,4.60616303706371,0.0773381365737523
3,1.83435809187687,0.262207860685954,12.3930967193605,47.7805797041572,0.0773381365737523
4,6.54326319870732,0.242118019817322,56.7524753092684,9.05912695585109,0.0773381365737523
5,11.8756051725201,0.190589462782212,105.592131277452,211.396107384764,0.0773381365737523
6,2.20632226239462,1.40913644350425,143.545357728237,11.9575792343587,0.0773381365737523
7,1.6320583143501,1.10103824826446,120.886391266099,274.923259105476,0.0773381365737523
8,-7.77373675579537,0.136815601228661,366.039837449486,13.9242563045198,0.0773381365737523
9,1.59673535940533,-1.7038802406972,396.6114198422,574.968405728956,0.0773381365737523
10,16.4767001843734,1.88226999799084,1829.35359383639,21.2446690405226,0.0773381365737523
11,8.1094826460899,4.32143050870998,3075.20079488851,1920.29690790486,0.0773381365737523
12,0.64687494365036,6.16831508575554,3573.21430266446,56.0344235738158,0.0773381365737523
13,6.04991349484685,7.20288750382039,3620.39471592891,1678.40203997527,0.0773381365737523
14,31.5409353301505,10.1841826968811,5362.82614009991,46.3913102705277,0.0773381365737523
15,8.90196579295397,13.3725628858721,4179.57183668611,2782.95439373653,0.0773381365737523
16,-1.89572558992083,21.3567800143555,5310.26945627727,27.3522219102564,0.0773381365737523
17,-5.78159649890436,20.7653294461017,6350.42853669313,6794.53038022048,0.0773381365737523
18,17.6037029929751,29.6310939273168,15233.7820650548,27.7313658912028,0.0773381365737523
19,18.0649204293928,27.0994525573799,7583.83676776026,7909.38141161463,0.0773381365737523
20,24.3677958266716,23.7068555428058,8252.53703297954,22.1703198899494,0.0773381365737523
21,1.99134538764732,28.3831260277728,7557.53590867206,14927.8206138952,0.0773381365737523
22,-0.835336220664544,23.4107111912991,12990.2585967432,10.3412054790704,0.0773381365737523
23,-1.15838566455044,24.8652874086657,15350.8521917186,23040.6812209745,0.0773381365737523
24,7.53203907199366,10.0804430178343,25247.1720819343,14.9215609017073,0.0773381365737523
25,5.57952037112854,7.51025345839817,15886.1419536645,23542.9132052382,0.0773381365737523
26,-1.8076232622768,6.29838865290535,19755.8260192181,17.0505883270729,0.0773381365737523
27,-22.9885758345345,8.30802284397172,21440.0638195267,30256.6791453457,0.0773381365737523
28,2.40608643294803,16.9195095123816,61508.5877059674,15.0232892950265,0.0773381365737523
29,-8.0945340018458,19.3467717989981,78556.5170680419,121813.294900875,0.0773381365737523
30,17.3427966580119,24.2723462834177,152478.505438098,11.7897786571425,0.0773381365737523
31,10.3772867688536,27.0065819994365,98390.4719955276,239020.764168681,0.0773381365737523
32,-21.9239076610962,14.4359219731609,124837.140928153,11.6568517492907,0.0773381365737523
33,14.3076171305484,-0.455379112544827,90822.3634173677,416724.882797823,0.0773381365737523
34,-4.24631422147294,-5.96612864270795,135048.772437843,4.35677319105605,0.0773381365737523
35,-4.92213115633913,-2.65687717806788,192274.859529395,708985.355026865,0.0773381365737523
36,-5.66511071945571,2.46687155249781,464489.58116165,4.5479912590102,0.0773381365737523
37,5.75269990887135,0.676064685892865,410695.684707793,1621249.29380087,0.0773381365737523
38,-22.1223408193415,-123.033725433416,3462532.96072024,5.78732548691614,0.0773381365737523
39,16.3732295380579,2.41519982490007,3131503.21044463,11117821.0813819,0.0773381365737523
40,-5.41080984853357,-5.96795873987224,12521503.5582704,7.93081395246045,0.0773381365737523
41,-8.59257557680776,-4.94987263270188,12305831.6751413,28293384.2173162,0.0773381365737523
42,-4.49104137133078,-11.1989413052766,24116430.3722722,11.3292461883227,0.245355026368779
43,11.6942190816158,-10.7261077784758,28981004.891473,15986434.8678577,0.245355026368779
44,3.97342323302616,8.44514542350514,82706809.225134,13.7157050303843,0.245355026368779
45,-18.7516816599688,3.89563697721663,81575365.7966699,47263565.4855314,0.245355026368779
46,2.52917322510475,11.4178253155348,249336171.450513,9.65372069315191,0.333499624724533
47,3.79262558927506,0.892926801342038,209332527.874018,110906413.552612,0.333499624724533
48,7.747352713702,1.74379408817839,214642248.469231,7.4990433185329,0.304321227172757
49,8.81089888234049,1.68667753636359,294943896.902433,166837662.342275,0.304321227172757
50,3.40725977170862,-6.31553594788683,485830473.086668,7.79160795923741,0.304321227172757
51,16.6947546737787,0.0913697987442766,594529879.081352,561867518.449511,0.304321227172757
52,-6.93242066338193,12.5113517324714,1675682515.31583,6.60856465346285,0.304321227172757
53,1.61913885194352,-10.3870256334668,1439477393.27402,1268850008.66803,0.304321227172757
54,2.70841918468669,5.70849873317018,2025656706.82113,6.37939910188705,0.356679891249742
55,12.2805420257109,-2.6083874023924,1778220887.57964,1566326193.17557,0.356679891249742
56,-30.6395161105166,-14.4338972737563,2175051350.86551,6.50840398357784,0.311409706764389
57,5.23463652985682,-9.9534805664977,2570764622.85275,2203695776.00554,0.311409706764389
58,3.59209728925226,-10.5481173926364,4141922537.1508,9.04942180147191,0.340480223135884
59,-5.57973910816978,-4.61696716377562,3617109239.77652,3399204755.17033,0.340480223135884
60,-9.91689184820607,12.3806552059548,7058855268.47841,7.44531505531705,0.357182503811062
61,11.3125090366569,-5.11832544105464,6558348634.14183,6068506921.51835,0.357182503811062
62,-12.9084325409045,3.54895334885856,10959464789.3443,5.67568620444937,0.377911417940192
63,6.37592534335785,-0.900879649987436,9299607369.89626,15965744696.0311,0.377911417940192
64,8.64452194347026,3.82343692026483,15834693759.5634,2.10100483366257,0.543284881424561
65,13.2400722101643,13.3352680942524,10979679936.195,32821657675.1184,0.543284881424561
